context,question
"Deadlock occurs when a set of processes are blocked because each process is waiting for a resource held by another process.","What is a deadlock?"
"Deadlock occurs when a set of processes are blocked because each process is waiting for a resource held by another process.","Explain the deadlock problem with an example."
"Deadlock occurs when a set of processes are blocked because each process is waiting for a resource held by another process.","How does deadlock differ from starvation?"
"Deadlock occurs when a set of processes are blocked because each process is waiting for a resource held by another process.","Why are deadlocks undesirable in an operating system?"
"Deadlock occurs when a set of processes are blocked because each process is waiting for a resource held by another process.","Can a deadlock resolve itself automatically? Explain."
"Deadlock occurs when a set of processes are blocked because each process is waiting for a resource held by another process.","Give a real-world analogy for deadlock."
"Mutual exclusion means that only one process can access a resource at a time.","What is meant by mutual exclusion?"
"Mutual exclusion means that only one process can access a resource at a time.","Explain the concept of mutual exclusion."
"Mutual exclusion means that only one process can access a resource at a time.","Why is mutual exclusion necessary for deadlock formation?"
"Mutual exclusion means that only one process can access a resource at a time.","Differentiate mutual exclusion from hold and wait."
"Mutual exclusion means that only one process can access a resource at a time.","Can deadlocks occur without mutual exclusion? Justify your answer."
"Mutual exclusion means that only one process can access a resource at a time.","Give an example illustrating mutual exclusion."
"Hold and wait refers to a situation where a process holds one resource while waiting for another resource.","What is the hold and wait condition?"
"Hold and wait refers to a situation where a process holds one resource while waiting for another resource.","Explain the hold and wait condition with an example."
"Hold and wait refers to a situation where a process holds one resource while waiting for another resource.","Why does hold and wait contribute to deadlock?"
"Hold and wait refers to a situation where a process holds one resource while waiting for another resource.","How can the hold and wait condition be prevented?"
"Hold and wait refers to a situation where a process holds one resource while waiting for another resource.","Differentiate hold and wait from circular wait."
"Hold and wait refers to a situation where a process holds one resource while waiting for another resource.","Can a system experience deadlock without hold and wait? Explain."
"No preemption means that resources cannot be forcibly taken away from a process.","What is meant by no preemption?"
"No preemption means that resources cannot be forcibly taken away from a process.","Why is no preemption considered a necessary condition for deadlock?"
"No preemption means that resources cannot be forcibly taken away from a process.","Explain no preemption with an example."
"No preemption means that resources cannot be forcibly taken away from a process.","How does resource preemption help avoid deadlocks?"
"No preemption means that resources cannot be forcibly taken away from a process.","Differentiate preemptive and non-preemptive resource allocation."
"No preemption means that resources cannot be forcibly taken away from a process.","What are the limitations of resource preemption?"
"Circular wait occurs when processes form a cycle in which each process waits for a resource held by another process.","What is circular wait?"
"Circular wait occurs when processes form a cycle in which each process waits for a resource held by another process.","Explain circular wait with an example."
"Circular wait occurs when processes form a cycle in which each process waits for a resource held by another process.","Why is circular wait necessary for deadlock?"
"Circular wait occurs when processes form a cycle in which each process waits for a resource held by another process.","How can circular wait be prevented?"
"Circular wait occurs when processes form a cycle in which each process waits for a resource held by another process.","Differentiate circular wait from hold and wait."
"Circular wait occurs when processes form a cycle in which each process waits for a resource held by another process.","Give a practical example of circular wait."
"A process is a program in execution and consists of program code, data, and resources.","What is a process?"
"A process is a program in execution and consists of program code, data, and resources.","Differentiate a process from a program."
"A process is a program in execution and consists of program code, data, and resources.","What are the components of a process?"
"A process is a program in execution and consists of program code, data, and resources.","Why is a process considered an active entity?"
"A process is a program in execution and consists of program code, data, and resources.","Explain the lifecycle of a process."
"A process is a program in execution and consists of program code, data, and resources.","Give examples of processes in modern operating systems."
"A Process Control Block stores information required to manage a process.","What is a Process Control Block?"
"A Process Control Block stores information required to manage a process.","What information is stored inside a PCB?"
"A Process Control Block stores information required to manage a process.","Why is the PCB important in process management?"
"A Process Control Block stores information required to manage a process.","Explain the role of PCB during context switching."
"A Process Control Block stores information required to manage a process.","Can a process exist without a PCB? Explain."
"A Process Control Block stores information required to manage a process.","Differentiate PCB from process image."
"A thread is the smallest unit of CPU execution within a process.","What is a thread?"
"A thread is the smallest unit of CPU execution within a process.","Differentiate a thread from a process."
"A thread is the smallest unit of CPU execution within a process.","Why are threads called lightweight processes?"
"A thread is the smallest unit of CPU execution within a process.","Explain the advantages of multithreading."
"A thread is the smallest unit of CPU execution within a process.","How does multithreading improve system performance?"
"A thread is the smallest unit of CPU execution within a process.","Give an example of multithreading in modern applications."
"Context switching is the process of saving the state of one process and loading the state of another process.","What is context switching?"
"Context switching is the process of saving the state of one process and loading the state of another process.","Why is context switching necessary in multitasking systems?"
"Context switching is the process of saving the state of one process and loading the state of another process.","What overheads are associated with context switching?"
"Context switching is the process of saving the state of one process and loading the state of another process.","Explain context switching with an example."
"Context switching is the process of saving the state of one process and loading the state of another process.","How does context switching differ from mode switching?"
"Context switching is the process of saving the state of one process and loading the state of another process.","Can excessive context switching affect performance? Explain."
"First Come First Serve scheduling allocates the CPU to processes in the order in which they arrive.","What is FCFS scheduling?"
"First Come First Serve scheduling allocates the CPU to processes in the order in which they arrive.","State the advantages of FCFS scheduling."
"First Come First Serve scheduling allocates the CPU to processes in the order in which they arrive.","What are the disadvantages of FCFS scheduling?"
"First Come First Serve scheduling allocates the CPU to processes in the order in which they arrive.","Explain the convoy effect in FCFS scheduling."
"First Come First Serve scheduling allocates the CPU to processes in the order in which they arrive.","Compare FCFS and Round Robin scheduling."
"First Come First Serve scheduling allocates the CPU to processes in the order in which they arrive.","Why is FCFS considered a non-preemptive scheduling algorithm?"
"Shortest Job First scheduling selects the process with the smallest burst time.","What is SJF scheduling?"
"Shortest Job First scheduling selects the process with the smallest burst time.","Why is SJF considered optimal with respect to average waiting time?"
"Shortest Job First scheduling selects the process with the smallest burst time.","Differentiate preemptive and non-preemptive SJF."
"Shortest Job First scheduling selects the process with the smallest burst time.","What is the main limitation of SJF scheduling?"
"Shortest Job First scheduling selects the process with the smallest burst time.","How does SJF differ from FCFS scheduling?"
"Shortest Job First scheduling selects the process with the smallest burst time.","Can starvation occur in SJF scheduling? Explain."
"Round Robin scheduling assigns a fixed time quantum to each process and cycles through them.","What is Round Robin scheduling?"
"Round Robin scheduling assigns a fixed time quantum to each process and cycles through them.","Why is Round Robin scheduling suitable for time-sharing systems?"
"Round Robin scheduling assigns a fixed time quantum to each process and cycles through them.","What is the significance of time quantum in Round Robin scheduling?"
"Round Robin scheduling assigns a fixed time quantum to each process and cycles through them.","How does Round Robin differ from FCFS scheduling?"
"Round Robin scheduling assigns a fixed time quantum to each process and cycles through them.","What happens if the time quantum is too large?"
"Round Robin scheduling assigns a fixed time quantum to each process and cycles through them.","What happens if the time quantum is too small?"
"A semaphore is a synchronization mechanism used to control access to shared resources.","What is a semaphore?"
"A semaphore is a synchronization mechanism used to control access to shared resources.","Differentiate binary semaphore and counting semaphore."
"A semaphore is a synchronization mechanism used to control access to shared resources.","Why are semaphores used in operating systems?"
"A semaphore is a synchronization mechanism used to control access to shared resources.","Explain the wait and signal operations in semaphores."
"A semaphore is a synchronization mechanism used to control access to shared resources.","How do semaphores prevent race conditions?"
"A semaphore is a synchronization mechanism used to control access to shared resources.","Give an example of semaphore usage."
"A mutex is a synchronization primitive that ensures mutual exclusion among threads.","What is a mutex?"
"A mutex is a synchronization primitive that ensures mutual exclusion among threads.","Differentiate a mutex from a semaphore."
